selection,mass,rinv,obs_limit,exp_limit,exp_p1,exp_m1,exp_p2,exp_m2,xs,obs_xs_limit,exp_xs_limit
ML,1000,6,0.01,0.042431115094070104,0.06612872008118525,0.03990882596617759,0.07586546114457292,0.037508170758284276,9552.0,95.52,405.3020113785576
ML,1000,8,0.01,0.04046597975943857,0.04290971490226897,0.038066036830333355,0.06876206666313915,0.03380817550024029,9554.0,95.54,386.61197062167605
ML,2000,4,0.3214627211271283,0.5563568191411025,0.6592741460113813,0.34081535363911825,0.9279687813786528,0.3302996092061365,146.8,47.19072746146244,81.67318104991385
ML,2000,6,0.3173049099607966,0.3433468846732258,0.5928425897388654,0.3299971663784154,0.6643782396978556,0.32668133202679794,146.1,46.358247345272375,50.16297985075829
ML,3000,2,6.745659525439445,23.379452705454568,32.73377816840915,16.784196840122593,43.8688698648323,12.752020608527337,14.24,96.0581916422577,332.92340652567304
ML,3000,4,3.3533636887073475,11.876074719246969,16.19849812691604,8.773428559622499,21.815794277693573,6.442632229676144,14.2,47.617764379644335,168.64026101330694
