Model,Signal Yield,Best-fit Mu,Obs_Limit,Exp_m2,Exp_m1,Exp_med,Exp_p1,Exp_p2
1000_2,9.69789438,0.0,2.881744927652534,1.686469450073104,2.2930951034943496,3.1717527151238607,4.419351474058666,5.94997202274132
1000_4,31.481856899999997,0.23827418080672338,1.5871932606707273,0.759637797280361,1.0185719032642049,1.4138728827061815,1.9784984966976247,2.6657111478448057
1000_6,55.76873111999997,0.41738685390596336,1.3357813813257788,0.5455940758278127,0.7316748595661122,1.0207831346198883,1.4379320905681567,1.955847605529311
1000_8,92.15893494000002,0.443103207340915,1.2579979071424052,0.5022527043956754,0.6766782578545625,0.9338238083444784,1.2897005430084616,1.7228859478771024
2000_2,2.0425637925,4.2369932535488e-15,17.919157958104243,12.70173363514934,16.930518486712398,23.307653242460162,32.20541508090259,42.972459760819746
2000_4,5.067964656,7.614415917424853e-14,9.462044179148089,6.808272106553173,9.072179229503753,12.496159288879934,17.233815059215505,22.903325756772283
2000_6,8.344519762499992,1.5726673688440946e-14,5.9508511706031575,4.068343030568583,5.41591731138382,7.469151595380257,10.294846820853513,13.680501698040302
2000_8,9.847942159500011,5.774048291548196e-14,5.698051019971563,4.013188762858025,5.340449357697158,7.3556501055941625,10.131930695287746,13.434070532834395
3000_2,0.057836044800000014,0.9962119912101798,619.1890748470829,395.5370633148186,528.1953205217242,730.5139959601076,1015.6625203349685,1363.590562402998
3000_4,0.23069433599999958,1.034424199234822,170.45402725454693,96.52340488556072,128.33825695212605,176.54552197257436,244.90740664654152,328.1973245619572
3000_6,0.36792801990000046,1.6018317373628793e-15,116.97832579484268,67.92751172106892,90.85880544405012,125.56596623207665,173.81557754622781,232.24606884969145
3000_8,0.510395987700001,1.0623376568076798e-13,85.84953192765467,54.35493146614069,72.4469247051758,100.13277476443606,138.42479543151222,184.70048182472996
