Model,Signal Yield,Best-fit Mu,Obs_Limit,Exp_m2,Exp_m1,Exp_med,Exp_p1,Exp_p2
1000_2,12.122367975,0.0,3.4298780640381334,1.8307942674943751,2.4929350354201034,3.4467286756326763,4.796388761505949,6.437097195071554
1000_4,33.9035382,0.12094698465611622,2.273383527462568,1.0135930646159625,1.3573123090541437,1.8781403031833555,2.6010620265453683,3.486143756937372
1000_6,70.31709575999996,0.3684929392478109,1.4890810557934007,0.7186057373089769,0.9618337492533025,1.3267210992195597,1.8382454464592253,2.4577549830840493
1000_8,106.71034572000005,0.35434666690740485,1.43306841138581,0.6578401013516713,0.8749994326030143,1.2018496416186761,1.6618228222954488,2.204133427121233
2000_2,2.673901692000004,9.357341860955315e-16,18.746541201690828,10.703686971271276,14.277146467567974,19.779964102609586,27.33152218420737,36.54219520709373
2000_4,5.850518022000001,7.503879533208021e-15,11.953440568330059,5.935540241494724,7.928640858006355,10.938615543300624,15.098473519657125,20.16992465361958
2000_6,10.421378014500029,3.3636776616735276e-17,5.795016306573419,3.290671768356588,4.399800843586211,6.075741565817998,8.397020772363904,11.194781143580864
2000_8,12.651101725500059,1.3085076544940245e-14,5.021851639453855,3.0803075807397846,4.135881171297733,5.686323945599899,7.865640957184226,10.482186869921987
3000_2,0.072295056,1.0114609883315286,679.2050819887402,377.72661694632467,508.30891111159673,698.8430552023656,970.9043458506488,1296.3653108254223
3000_4,0.2919725189999994,37.09532407662529,215.53767539090558,78.16315573667514,105.3523605365646,145.0925486145385,201.14453806535207,269.0083460466616
3000_6,0.4472850438000009,13.773763184560279,155.1864267169621,61.685762424931895,83.22917159078868,114.84667599167408,159.11324551052226,213.1226098441502
3000_8,0.6153710490000001,8.1095757776469,100.44302153874503,45.08374950566372,60.79549035815465,83.92919844746064,116.10479880864948,155.65416672368502
