Model,Signal Yield,Best-fit Mu,Obs_Limit,Exp_m2,Exp_m1,Exp_med,Exp_p1,Exp_p2
1000_2,746.7378672599987,2.8614836259216817e-16,0.5989632696838674,0.41408935727163343,0.5553285649407044,0.7602125838866881,1.0434649107941603,1.3790159873409227
1000_4,1888.9114140000258,7.97960513125757e-15,0.19634580054178957,0.22046626869079544,0.28924242441926606,0.3920815285807399,0.5435142746139254,0.7061369123688728
1000_6,3149.7209445599683,0.0,0.17929053666323652,0.18743588138205483,0.2474752523224743,0.32647881261039335,0.44719442155195993,0.5810920791369738
1000_8,4639.474803690135,2.2619481996199338e-16,0.14051854796599825,0.15201522802572062,0.1845456584441291,0.24766481417240174,0.32389249229169104,0.42222322018346486
2000_2,35.50347246600019,0.0,6.802253717603569,3.353068610352592,4.459712204809604,6.17582707389303,8.529495289434479,11.374317198763912
2000_4,80.67752558999828,0.6192750086655427,3.2848948625361136,1.6631298647017407,2.216108582078596,3.0646877630249243,4.258776902073521,5.684892253113015
2000_6,123.83267327549396,0.6217398744682009,2.455966176374075,1.143316838803102,1.5372524292936842,2.1270416177887355,2.9611026501041824,3.9823875356772134
2000_8,154.1368924515083,0.571989680973674,2.175136517714156,1.0108629212513636,1.3539477876225008,1.8772305583610973,2.6138749980716307,3.520909161002066
3000_2,0.892843941600002,10.123125664398962,252.16849078222208,77.27265985441215,103.29374226994375,142.4082856472051,196.9622885027778,264.47175209292936
3000_4,2.1303180089999927,23.24201675838527,150.0978252311133,36.59368137100412,48.46073322425694,66.6330056650526,92.80389063645488,125.32579784722529
3000_6,3.704530161149969,7.714047318422464,88.17704040053896,23.25413306202361,31.198079486715404,42.81341095663556,59.63700187578313,80.14514900880472
3000_8,4.4958284873999155,14.146375813218318,67.93659394210013,16.995193059429646,22.616714922798455,31.074272734387566,43.02769466119503,57.66085000260651
