,met_recalc_pt,ht,ljet1_tau21,ljet1_tau32,ljet2_tau21,ljet2_tau32,mjj
nom,0.001662009236073144,0.0016630002941777052,0.0369452260621619,0.0624387476009066,0.03299657889152679,0.04233296597896274,0.019807797350624722
rw,0.0016854220757357404,0.001466860319557915,0.018269494863386908,0.02402715859852451,0.007074845426112563,0.02355600462727756,0.009134745190024392
gen,0.001687404669374862,0.0016825884006689378,0.013721872160797401,0.012741140950148007,0.019909906888115544,0.015299788182629523,0.0043174192730532236
