,met_recalc_pt,ht,ljet1_tau21,ljet1_tau32,ljet2_tau21,ljet2_tau32,mjj
nom,0.0006340686103551689,0.0006139595787903028,0.051406109163108116,0.06587052539593063,0.050524707668048244,0.05446971339658769,0.013457086601768658
rw,0.0007354818405359306,0.0011239150401689201,0.007014257311449056,0.017490692457756536,0.0232089735127949,0.01963097064177067,0.0035213354225749442
gen,0.00065218132733079,0.000678257695040248,0.014853115182935176,0.031464997249190545,0.024875349811698685,0.03386182255125598,0.003076459525198444
