Model,Signal Yield,Best-fit Mu,Obs_Limit,Exp_m2,Exp_m1,Exp_med,Exp_p1,Exp_p2
1000_2,12.122367975,2.0684517004122812e-14,2.880986200235214,2.0566351000076604,2.710601444235798,3.7659239991542472,5.251882118450514,7.056398855075684
1000_4,43.59026340000001,0.0,1.8235025344379878,1.0531783924444462,1.4065195369089818,1.9480904124655996,2.6986051811417893,3.6027645561544452
1000_6,94.56437015999994,5.860759272078955e-15,0.9085240610028067,0.6805090991327264,0.9062603491961025,1.2549775814463213,1.7351637175516934,2.3125642064450918
1000_8,130.9626970200001,1.7510784943051811e-15,1.036600938725534,0.6856758243683506,0.9139937383862177,1.2607878611621983,1.7364341716825054,2.3003220573135983
2000_2,3.379514638500008,0.0,17.028855763927947,9.298223071260615,12.325658970203545,17.070819748155564,23.59724073938621,31.575676218830463
2000_4,7.564682538000001,0.0,7.752784522714885,4.65535562299368,6.1823235333978666,8.581676210078054,11.874115703864135,15.836152446970411
2000_6,11.979021703500056,0.0,4.970295577732779,2.911796863098997,3.8795207179951157,5.380396098336916,7.440877045766551,9.938674162671411
2000_8,15.196075542000102,1.5638400971765435e-15,4.3815073301230205,2.6374718164583655,3.5274534355939795,4.877840302259455,6.768085530198643,9.031453043090552
3000_2,0.10844258399999997,0.0,408.40656394547744,269.6816085261068,358.3162409850306,492.52357818271287,683.5020866490581,917.1763135714859
3000_4,0.3424369049999992,16.32036378777044,143.2530028283085,72.72892711476283,95.71390638043867,132.61153852255535,184.00942205898022,246.55881755426668
3000_6,0.5338563426000008,1.1433024091643242,105.30440702271339,57.40881306262238,75.45086649665107,105.15248058038286,145.79274228033827,195.0778950932357
3000_8,0.7384452587999988,12.169158791851467,81.50241561730108,40.35077532985161,53.35892010335518,73.60075089606696,102.37261896803727,136.82535048541814
