Model,Signal Yield,Best-fit Mu,Obs_Limit,Exp_m2,Exp_m1,Exp_med,Exp_p1,Exp_p2
1000_2,50.91394549500001,1.466913781969374e-14,4.1527098973378695,1.5331865332820314,2.051410613726909,2.8315696126649583,3.918406882637467,5.217809765276873
1000_4,147.7225593,0.20237244240192506,1.4824194765712104,0.7292255058382268,0.9727074285364127,1.3403323667819091,1.8486586445642215,2.4555359683869344
1000_6,278.8436556000003,4.409091653453464e-16,0.7435448507320945,0.5096208129725035,0.6813344612203807,0.9368565562818667,1.2850112580513395,1.572899565490902
1000_8,354.0843289799992,0.0,0.7951802847550833,0.5402568829290939,0.7135342935849762,0.9800714324149001,1.344454161624653,1.7710275743774553
2000_2,4.976428149000017,0.8987108911593097,21.95712441665373,8.000865003910103,10.588080701473181,14.672511484017724,20.278144785282148,27.107928343948075
2000_4,10.359515988,3.217157632610341,9.792305993705222,4.157196264068226,5.595868574783689,7.732015049713898,10.679308589327679,14.300762310769173
2000_6,16.948646806500086,1.2813123236051673,5.401898205712086,2.493664594309235,3.3572740553807923,4.616638023275842,6.402705122205765,8.534373842300313
2000_8,22.093323421500223,1.0682850812676061,4.7966265698731645,2.2759406097531425,3.0419060893762793,4.201302310705975,5.810872984255356,7.7616000041831406
3000_2,0.14097535919999998,0.0,567.4791849086415,268.1790174387028,354.7564844300979,488.25564338707176,677.9953105742759,904.652039662742
3000_4,0.45057487499999876,15.943874128895015,227.24942526725005,63.515667027234976,84.34437058676211,114.63322699087156,160.2599033611002,214.07013637057818
3000_6,0.7322489023499987,1.3877787807814457e-16,141.33724782172774,46.18528772786485,62.41183652311404,86.10113160275037,119.15772153817946,159.79843604475474
3000_8,0.9664945298999967,9.863801702980705,101.73414356234748,33.713145773288275,44.34474270622747,61.519440641875526,85.83653691647612,114.59245470645122
