Feature,Mean_AUC_Drop_Gen,Std_AUC_Drop_Gen,Mean_AUC_Drop_RW,Std_AUC_Drop_RW,Mean_AUC_Drop_Nom,Std_AUC_Drop_Nom
ljet2_tau21,0.015519250297532702,0.002135716379573043,0.004085572663975574,0.0006932776865800581,0.008977038460772361,0.0005571969829214305
ljet2_tau32,0.012486131971691523,0.00256999426395885,0.011447915498848452,0.0012040180013835947,0.0193503329272222,0.0015377650794937585
ljet1_tau32,0.007848843271652006,0.001397614632201063,0.01037249903925198,0.002294730203946321,0.02102796105551542,0.0010930337289843399
ljet1_tau21,0.007472541527348173,0.0021590787196393217,0.003052247529223489,0.0006808582812157323,0.008202200221517453,0.000842176583100435
mjj,0.0033626763628667525,0.0008616916544037634,0.0022803085450834623,0.0005713614242549874,0.005826404387211269,0.00045943726197893023
